dataset,lossfunction,recall,acc,f1_macro,f1_micro,auroc,avg_training_time,acc_class_0,f1_class_0,auc_class_0,acc_class_1,f1_class_1,auc_class_1,acc_class_2,f1_class_2,auc_class_2,acc_class_3,f1_class_3,auc_class_3,acc_class_4,f1_class_4,auc_class_4,acc_class_5,f1_class_5,auc_class_5
CiteSeer,CEL,0.680251081260431,0.749,0.6571886915646016,0.749,0.8903388977050781,0.1471164846420288,2.5974025974025974,0.05063291139240507,0.684167944731325,76.37362637362638,0.7128205128205127,0.9084237889250113,78.45303867403315,0.7493403693931397,0.9119698594836718,80.51948051948052,0.806941431670282,0.9307246719470388,85.20710059171597,0.789041095890411,0.9467918455699627,85.0,0.8343558282208589,0.9599553571428572
CiteSeer,CEL,0.7327839184591204,0.768,0.7365135260749707,0.768,0.9145401120185852,0.14696371793746948,38.96103896103896,0.48000000000000004,0.80540586174389,76.92307692307692,0.7197943444730078,0.9209711437706547,72.37569060773481,0.7257617728531855,0.9122801691862464,80.08658008658008,0.8222222222222222,0.9415725150445566,87.57396449704142,0.8338028169014083,0.9511958928787587,83.75,0.8375,0.9558147321428572
CiteSeer,CEL,0.7302958221360262,0.764,0.7340022950213925,0.764,0.9127511978149414,0.1475555968284607,40.25974025974026,0.4732824427480916,0.8009103572483853,75.82417582417582,0.7340425531914893,0.9134044439667912,77.34806629834254,0.7291666666666666,0.924783626441085,78.35497835497836,0.8044444444444444,0.9401116871858094,86.3905325443787,0.8319088319088318,0.9531825205249254,80.0,0.8311688311688312,0.9441145833333332
CiteSeer,CEL,0.7184459818172101,0.753,0.7199790135976016,0.753,0.9141812920570374,0.14842830896377562,37.66233766233766,0.4360902255639098,0.8129265101096087,74.17582417582418,0.7031249999999999,0.9182977780166043,74.03314917127072,0.7282608695652174,0.9064787269207157,77.4891774891775,0.8026905829596411,0.9358755678651647,85.20710059171597,0.8323699421965319,0.9561446606711812,82.5,0.8173374613003095,0.9553645833333334
CiteSeer,CEL,0.7278609628495413,0.761,0.729443198577862,0.761,0.9121133685112,0.14750280857086182,40.25974025974026,0.45588235294117646,0.7952259008597037,77.47252747252747,0.7286821705426355,0.9204169913216367,73.48066298342542,0.7287671232876712,0.9092141744075445,78.35497835497836,0.811659192825112,0.9399371759579823,84.02366863905326,0.8255813953488372,0.9566359771858245,83.125,0.8260869565217391,0.95125
CiteSeer,CEL,0.7332957015596199,0.76,0.7338294131688539,0.76,0.9071616530418396,0.14671375513076781,46.753246753246756,0.5,0.7959575635631974,72.52747252747253,0.6839378238341969,0.9047227222655096,69.06077348066299,0.728862973760933,0.9034093592104642,79.65367965367966,0.8159645232815965,0.9315634517194986,86.98224852071006,0.8424068767908309,0.9532359244939084,85.0,0.8318042813455658,0.9540811011904762
CiteSeer,CEL,0.7304283267495125,0.769,0.735289388063864,0.769,0.9172822833061218,0.14941295623779297,36.36363636363637,0.46666666666666673,0.8071787367562016,76.37362637362638,0.7220779220779221,0.9208938982777612,74.58563535911603,0.7356948228882834,0.9120002158676191,81.38528138528139,0.8209606986899562,0.9429939371421817,85.79881656804734,0.8262108262108262,0.9603884960730282,83.75,0.8401253918495297,0.9602380952380952
CiteSeer,CEL,0.7294269552636531,0.768,0.7333048088404643,0.768,0.9156033396720886,0.14786532640457153,36.36363636363637,0.45901639344262296,0.810443078048712,78.02197802197803,0.7395833333333333,0.9230500550793949,72.92817679558011,0.7252747252747253,0.9106712808370266,81.38528138528139,0.8245614035087719,0.9417808026390602,85.20710059171597,0.8112676056338027,0.9531326768205414,83.75,0.8401253918495297,0.9545424107142857
CiteSeer,CEL,0.715476835578833,0.752,0.7182392472885709,0.752,0.9144268035888672,0.14583202362060546,36.36363636363637,0.44094488188976383,0.8062360175036232,72.52747252747253,0.7021276595744682,0.9160442247239312,74.03314917127072,0.7262872628726287,0.9117742294537875,78.78787878787878,0.7982456140350876,0.9396050416856658,87.57396449704142,0.8291316526610645,0.9589537094396855,80.0,0.8126984126984126,0.9539471726190477
CiteSeer,CEL,0.7200104472721875,0.752,0.7211127752050889,0.752,0.9109127521514893,0.1464694309234619,40.25974025974026,0.45588235294117646,0.7926158348693559,75.82417582417582,0.7187499999999999,0.9149862973212606,72.37569060773481,0.7217630853994491,0.9114301904357153,77.05627705627705,0.8018018018018018,0.9374433542183869,84.61538461538461,0.8148148148148148,0.9580743240837658,81.875,0.8136645962732918,0.9509263392857144
